benchmark	family	bucket	category	n	mean_projection	sd_projection
livebench_reasoning	qwen3	p04-05	preserve	13	47.75717041688079	7.163157415268803
livebench_reasoning	qwen3	p04-05	trace_rescue	3	41.56630254345411	20.589655583909998
livebench_reasoning	qwen3	p04-05	trace_damage	8	15.916651653931321	9.219026278050448
livebench_reasoning	qwen3	p04-05	persistent_fail	22	12.016894346379042	12.186877959543306
livebench_reasoning	qwen3	p06-10	preserve	21	47.17164127131541	11.95324494754316
livebench_reasoning	qwen3	p06-10	trace_rescue	8	23.396653009445714	11.093460141029599
livebench_reasoning	qwen3	p06-10	trace_damage	12	11.942579587301026	7.119395900971373
livebench_reasoning	qwen3	p06-10	persistent_fail	31	10.33185911217628	14.411291767126517
livebench_reasoning	qwen3	p11-20	preserve	21	49.503871614084886	8.02467641685798
livebench_reasoning	qwen3	p11-20	trace_rescue	1	16.162857587099687	0.0
livebench_reasoning	qwen3	p11-20	trace_damage	6	14.126869677408331	1.2958641320552053
livebench_reasoning	qwen3	p11-20	persistent_fail	9	10.450012340858768	14.514463405833716
math500	gemma	p01	preserve	27	55.27020049741697	18.08647107752855
math500	gemma	p01	trace_rescue	8	61.40451502423196	7.82961783989444
math500	gemma	p01	trace_damage	6	8.337801623302601	45.772287881586344
math500	gemma	p01	persistent_fail	6	12.490279531945356	49.11233152466664
math500	gemma	p02	preserve	29	53.26924725105896	23.847659759178818
math500	gemma	p02	trace_rescue	7	56.95389490351996	18.458133019690006
math500	gemma	p02	trace_damage	4	-21.27611875263002	64.11906133089643
math500	gemma	p02	persistent_fail	7	14.467155957035398	51.095580923796206
math500	gemma	p03	preserve	32	41.137526219133115	36.705949944787086
math500	gemma	p03	trace_rescue	8	53.1112996946464	35.64336661962384
math500	gemma	p03	trace_damage	1	-62.491380188082175	0.0
math500	gemma	p03	persistent_fail	6	-13.518465754554796	41.96063321881278
math500	gemma	p04-05	preserve	52	25.589268101688667	35.26081660866354
math500	gemma	p04-05	trace_rescue	10	49.66144985532712	32.62561586878655
math500	gemma	p04-05	trace_damage	1	-37.8381391738923	0.0
math500	gemma	p04-05	persistent_fail	12	-19.10048001869432	34.64460751304095
math500	gemma	p06-10	preserve	20	3.8572449230967054	31.97153042151048
math500	gemma	p06-10	trace_rescue	1	77.86385069924857	0.0
math500	gemma	p06-10	persistent_fail	7	-35.507865872487514	14.358597336788662
math500	mistral	p01	preserve	12	10.714853368137902	15.433086027424258
math500	mistral	p01	trace_rescue	7	-8.705081233373374	13.14583589694063
math500	mistral	p01	persistent_fail	28	-18.945543376339597	12.93124406939293
math500	mistral	p02	preserve	12	14.370393556249248	16.02927222329769
math500	mistral	p02	trace_rescue	7	-2.901373754925498	14.02985194638206
math500	mistral	p02	persistent_fail	28	-21.576087101264022	13.199559184365166
math500	mistral	p03	preserve	12	7.902124346176282	16.669831900872463
